,Fine,On Fire,Burned Out,Saved
0,6491,61,0,0
1,6341,64,133,14
2,6206,63,257,26
3,6110,43,352,47
4,6022,36,423,71
5,5963,34,473,82
6,5855,52,542,103
7,5712,54,659,127
8,5633,24,741,154
9,5597,11,772,172
10,5567,12,791,182
11,5551,5,809,187
12,5543,3,814,192
13,5534,2,823,193
14,5533,0,825,194
