,Fine,On Fire,Burned Out,Fireman
0,4978,42,0,62
1,4876,48,96,62
2,4789,53,178,62
3,4706,41,273,62
4,4644,33,343,62
5,4578,40,402,62
6,4538,27,455,62
7,4491,29,500,62
8,4431,31,558,62
9,4373,38,609,62
10,4320,34,666,62
11,4266,30,724,62
12,4228,17,775,62
13,4204,16,800,62
14,4164,21,835,62
15,4128,19,873,62
16,4082,23,915,62
17,4040,20,960,62
18,4009,21,990,62
19,3968,16,1036,62
20,3929,23,1068,62
21,3898,19,1103,62
22,3852,22,1146,62
23,3808,25,1187,62
24,3768,26,1226,62
25,3726,24,1270,62
26,3661,35,1324,62
27,3594,40,1386,62
28,3549,34,1437,62
29,3500,28,1492,62
30,3439,35,1546,62
31,3375,43,1602,62
32,3303,35,1682,62
33,3267,18,1735,62
34,3241,12,1767,62
35,3212,19,1789,62
36,3173,17,1830,62
37,3147,15,1858,62
38,3119,18,1883,62
39,3098,11,1911,62
40,3074,13,1933,62
41,3043,14,1963,62
42,3000,28,1992,62
43,2964,25,2031,62
44,2919,25,2076,62
45,2884,19,2117,62
46,2848,22,2150,62
47,2801,26,2193,62
48,2731,35,2254,62
49,2652,38,2330,62
50,2572,41,2407,62
51,2521,26,2473,62
52,2484,17,2519,62
53,2443,26,2551,62
54,2398,21,2601,62
55,2380,10,2630,62
56,2370,5,2645,62
57,2359,7,2654,62
58,2348,5,2667,62
59,2338,5,2677,62
60,2329,4,2687,62
61,2323,5,2692,62
62,2316,4,2700,62
63,2299,9,2712,62
64,2267,19,2734,62
65,2239,19,2762,62
66,2222,10,2788,62
67,2199,11,2810,62
68,2183,8,2829,62
69,2174,4,2842,62
70,2164,6,2850,62
71,2150,9,2861,62
72,2125,14,2881,62
73,2111,6,2903,62
74,2101,3,2916,62
75,2097,3,2920,62
76,2094,1,2925,62
77,2094,0,2926,62
