,Fine,On Fire,Burned Out,Fireman
0,6264,57,0,91
1,6103,79,139,91
2,5981,56,284,91
3,5860,65,396,91
4,5727,70,524,91
5,5654,41,626,91
6,5585,45,691,91
7,5513,36,772,91
8,5418,51,852,91
9,5347,42,932,91
10,5275,52,994,91
11,5197,35,1089,91
12,5141,32,1148,91
13,5076,41,1204,91
14,4996,40,1285,91
15,4923,44,1354,91
16,4856,39,1426,91
17,4763,53,1505,91
18,4604,79,1638,91
19,4523,49,1749,91
20,4463,26,1832,91
21,4420,29,1872,91
22,4353,33,1935,91
23,4273,49,1999,91
24,4214,25,2082,91
25,4159,37,2125,91
26,4081,44,2196,91
27,3971,58,2292,91
28,3868,54,2399,91
29,3772,48,2501,91
30,3706,36,2579,91
31,3667,26,2628,91
32,3634,22,2665,91
33,3589,22,2710,91
34,3573,7,2741,91
35,3565,5,2751,91
36,3558,4,2759,91
37,3548,5,2768,91
38,3544,3,2774,91
39,3544,0,2777,91
