,Fine,On Fire,Burned Out,Protected
0,8014,82,0,0
1,7790,119,174,13
2,7609,70,359,58
3,7487,42,467,100
4,7374,42,553,127
5,7228,52,652,164
6,7127,34,729,206
7,7032,34,787,243
8,6939,40,846,271
9,6855,48,909,284
10,6763,27,982,324
11,6686,23,1030,357
12,6638,29,1067,362
13,6566,29,1118,383
14,6495,37,1169,395
15,6406,41,1233,416
16,6293,48,1318,437
17,6183,49,1409,455
18,6064,39,1502,491
19,5964,26,1573,533
20,5893,19,1619,565
21,5850,11,1647,588
22,5831,6,1664,595
23,5813,5,1672,606
24,5806,6,1678,606
25,5782,7,1694,613
26,5767,6,1705,618
27,5738,16,1722,620
28,5719,3,1744,630
29,5716,1,1747,632
30,5714,0,1748,634
